ID,Kategori,Sub_Kategori,Tahap,Soalan,Pilihan_A,Pilihan_B,Pilihan_C,Pilihan_D,Penerangan
91,Asia Tenggara,Sungai & Gunung,SUKAR,"Gunung berapi Krakatoa yang letusannya pada tahun 1883 memberi kesan kepada cuaca global terletak di...","Selat Sunda, Indonesia","Selat Melaka, Malaysia","Teluk Siam, Thailand","Laut China Selatan, Filipina","Letusan dahsyat Gunung Berapi Krakatoa pada tahun 1883 menyebabkan tsunami besar dan menjejaskan iklim dunia."
92,Asia Tenggara,Sungai & Gunung,SUKAR,"Puncak Jaya (Carstensz Pyramid) adalah puncak tertinggi di Oceania tetapi secara politik ia terletak di negara Asia Tenggara, iaitu...","Indonesia","Papua New Guinea","Malaysia","Timor-Leste","Puncak Jaya terletak di wilayah Papua, Indonesia, dan merupakan puncak tertinggi di antara Banjaran Himalaya dan Andes."
93,Asia Tenggara,Pulau & Laut,SUKAR,"Terumbu Sawar Besar (Great Barrier Reef) adalah terumbu karang terbesar di dunia. Apakah nama terumbu karang kedua terbesar yang terletak di Asia Tenggara?","Terumbu Karang Tubbataha, Filipina","Raja Ampat, Indonesia","Taman Laut Tun Sakaran, Malaysia","Kepulauan Similan, Thailand","Terumbu Karang Tubbataha di Laut Sulu, Filipina, adalah Tapak Warisan Dunia UNESCO dan salah satu kawasan marin yang paling kaya dengan biodiversiti."
94,Asia Tenggara,ASEAN,SUKAR,"Negara manakah yang menjadi anggota ASEAN paling akhir, iaitu pada tahun 1999?","Kemboja","Vietnam","Laos","Myanmar","Kemboja menyertai ASEAN pada 30 April 1999, melengkapkan keanggotaan ASEAN kepada 10 negara."
95,Asia Tenggara,Sejarah & Kerajaan,SUKAR,"Apakah nama lama bagi Thailand?","Siam","Burma","Kampuchea","Tonkin","Thailand dikenali sebagai Siam sehingga tahun 1939, dan sekali lagi dari 1946 hingga 1948."
96,Asia Tenggara,Geografi & Mercu Tanda,SUKAR,"'Segitiga Emas' (Golden Triangle) adalah kawasan pertemuan sempadan tiga negara yang terkenal dengan penanaman candu. Negara-negara tersebut ialah...","Thailand, Laos, dan Myanmar","Thailand, Kemboja, dan Vietnam","Malaysia, Thailand, dan Myanmar","China, Vietnam, dan Laos","Segitiga Emas adalah kawasan di mana sempadan Thailand, Laos, dan Myanmar bertemu di pertemuan Sungai Ruak dan Sungai Mekong."
97,Asia Tenggara,Ibu Negara & Bandar Utama,SUKAR,"Apakah satu-satunya negara di Asia Tenggara yang tidak mempunyai pantai?","Laos","Kemboja","Myanmar","Brunei","Laos adalah sebuah negara yang dikelilingi daratan (landlocked country) dan tidak mempunyai akses terus ke laut."
98,Asia Tenggara,Budaya & Tradisi,SUKAR,"Tarian Kecak yang unik kerana muziknya dihasilkan oleh suara ramai penari lelaki ('cak-cak') berasal dari...","Bali, Indonesia","Luzon, Filipina","Chiang Mai, Thailand","Siem Reap, Kemboja","Tarian Kecak adalah sejenis drama tari Bali yang dipersembahkan oleh sekumpulan besar penari lelaki tanpa iringan alat muzik."
99,Asia Tenggara,Pulau & Laut,SUKAR,"Kepulauan Spratly di Laut China Selatan menjadi rebutan beberapa negara. Manakah antara berikut BUKAN salah satu negara tersebut?","Thailand","China","Vietnam","Filipina","Thailand tidak membuat tuntutan ke atas Kepulauan Spratly. Negara lain yang terlibat termasuk China, Vietnam, Filipina, Malaysia, dan Brunei."
100,Asia Tenggara,ASEAN,SUKAR,"Piagam ASEAN yang memberikan status undang-undang kepada pertubuhan ini telah ditandatangani pada tahun...","2007","1997","1967","2015","Piagam ASEAN telah ditandatangani oleh pemimpin-pemimpin ASEAN pada November 2007 di Singapura, memberikan kerangka institusi yang sah kepada ASEAN."
101,Asia,Negara & Ibu Negara,MUDAH,"Apakah ibu negara bagi Jepun?","Tokyo","Kyoto","Osaka","Sapporo","Tokyo adalah ibu negara Jepun dan merupakan kawasan metropolitan paling ramai penduduk di dunia."
102,Asia,Negara & Ibu Negara,MUDAH,"Beijing adalah ibu negara bagi negara...","China","Korea Selatan","Mongolia","Korea Utara","Beijing adalah ibu negara Republik Rakyat China dan salah satu bandar paling ramai penduduk di dunia."
103,Asia,Negara & Ibu Negara,MUDAH,"Apakah ibu negara bagi India?","New Delhi","Mumbai","Kolkata","Chennai","New Delhi adalah ibu negara India dan pusat bagi Kerajaan India."
104,Asia,Negara & Ibu Negara,MUDAH,"Riyadh adalah ibu negara bagi...","Arab Saudi","Emiriah Arab Bersatu","Qatar","Oman","Riyadh adalah ibu negara dan bandar terbesar di Arab Saudi."
105,Asia,Gunung & Banjaran,MUDAH,"Gunung Everest, gunung tertinggi di dunia, terletak di banjaran gunung mana?","Banjaran Himalaya","Banjaran Karakoram","Banjaran Hindu Kush","Banjaran Pamir","Gunung Everest terletak di Banjaran Himalaya di sempadan antara Nepal dan China."
106,Asia,Gunung & Banjaran,MUDAH,"Gunung Fuji adalah gunung berapi dan simbol ikonik bagi negara...","Jepun","China","Korea Selatan","Filipina","Gunung Fuji (Fujisan) adalah gunung tertinggi di Jepun dan dianggap suci oleh ramai orang."
107,Asia,Sungai & Tasik,MUDAH,"Sungai Yangtze (Chang Jiang) adalah sungai terpanjang di Asia. Ia terletak di negara mana?","China","India","Rusia","Pakistan","Sungai Yangtze adalah sungai ketiga terpanjang di dunia dan mengalir sepenuhnya di dalam negara China."
108,Asia,Sejarah & Tamadun,MUDAH,"Tembok Besar yang terkenal dibina untuk melindungi negara ini daripada serangan. Negara manakah itu?","China","Mongolia","India","Jepun","Tembok Besar China dibina selama berabad-abad untuk melindungi sempadan utara empayar China."
109,Asia,Sejarah & Tamadun,MUDAH,"Tamadun Mesopotamia, salah satu tamadun terawal dunia, berkembang di kawasan yang kini sebahagian besarnya adalah negara...","Iraq","Iran","Mesir","Turki","Tamadun Mesopotamia berkembang di antara sungai Tigris dan Euphrates, yang kini merupakan sebahagian besar negara Iraq."
110,Asia,Mercu Tanda Terkenal,MUDAH,"Taj Mahal, sebuah makam yang indah, terletak di bandar Agra, ...","India","Pakistan","Bangladesh","Nepal","Taj Mahal dibina oleh Maharaja Mughal Shah Jahan sebagai tanda cinta kepada isterinya, Mumtaz Mahal."
111,Asia,Mercu Tanda Terkenal,MUDAH,"Burj Khalifa, bangunan tertinggi di dunia, terletak di bandar...","Dubai, UAE","Doha, Qatar","Riyadh, Arab Saudi","Kuwait City, Kuwait","Burj Khalifa di Dubai, Emiriah Arab Bersatu (UAE), adalah struktur buatan manusia tertinggi di dunia."
112,Asia,Negara & Ibu Negara,MUDAH,"Apakah negara terbesar di Asia Tengah dari segi keluasan?","Kazakhstan","Uzbekistan","Turkmenistan","Kyrgyzstan","Kazakhstan adalah negara kesembilan terbesar di dunia dan yang terbesar di Asia Tengah."
113,Asia,Negara & Ibu Negara,MUDAH,"Islamabad adalah ibu negara bagi...","Pakistan","Bangladesh","Afghanistan","Sri Lanka","Islamabad dibina pada tahun 1960-an untuk menggantikan Karachi sebagai ibu negara Pakistan."
114,Asia,Sungai & Tasik,MUDAH,"Laut Mati (Dead Sea) yang terkenal dengan kemasinannya yang tinggi bersempadan dengan Jordan dan...?","Israel","Syria","Lubnan","Mesir","Laut Mati adalah sebuah tasik garam yang bersempadan dengan Jordan di timur dan Israel serta Tebing Barat di barat."
115,Asia,Sejarah & Tamadun,MUDAH,"Sistem tulisan terawal di dunia, iaitu kuneiform, dicipta oleh tamadun...","Sumeria (Mesopotamia)","Mesir Purba","Lembah Indus","China Purba","Orang Sumeria di Mesopotamia adalah yang pertama mencipta sistem tulisan, yang dikenali sebagai kuneiform."
116,Asia,Negara & Ibu Negara,MUDAH,"Tehran adalah ibu negara bagi negara...","Iran","Iraq","Turki","Syria","Tehran adalah ibu negara dan bandar terbesar di Iran, serta pusat ekonomi dan budaya negara itu."
117,Asia,Gunung & Banjaran,MUDAH,"Gurun Gobi, gurun sejuk yang besar, terletak di utara China dan selatan...?","Mongolia","Rusia","Kazakhstan","India","Gurun Gobi meliputi sebahagian besar wilayah di utara China dan selatan Mongolia."
118,Asia,Negara & Ibu Negara,SEDERHANA,"Seoul adalah ibu negara bagi...","Korea Selatan","Korea Utara","Taiwan","Mongolia","Seoul adalah ibu negara dan metropolis terbesar di Republik Korea (Korea Selatan)."
119,Asia,Negara & Ibu Negara,SEDERHANA,"Ulaanbaatar adalah ibu negara bagi...","Mongolia","Kazakhstan","Kyrgyzstan","Tajikistan","Ulaanbaatar adalah ibu negara dan bandar terbesar di Mongolia."
120,Asia,Negara & Ibu Negara,SEDERHANA,"Kathmandu adalah ibu negara bagi negara pergunungan...","Nepal","Bhutan","Tibet","Pakistan","Kathmandu adalah ibu negara Nepal, sebuah negara yang terkenal dengan Banjaran Himalaya."
121,Asia,Negara & Ibu Negara,SEDERHANA,"Ankara adalah ibu negara Turki, manakala bandar terbesarnya ialah...","Istanbul","Izmir","Bursa","Antalya","Walaupun Istanbul adalah bandar terbesar dan pusat ekonomi Turki, Ankara telah menjadi ibu negara sejak 1923."
122,Asia,Gunung & Banjaran,SEDERHANA,"Gunung K2, gunung kedua tertinggi di dunia, terletak di sempadan antara Pakistan dan...?","China","India","Afghanistan","Nepal","Gunung K2 terletak di Banjaran Karakoram di sempadan antara wilayah Gilgit-Baltistan di Pakistan dan wilayah Xinjiang di China."
123,Asia,Gunung & Banjaran,SEDERHANA,"Apakah nama dataran tinggi yang sangat luas dan tinggi di Asia Tengah, yang dikenali sebagai 'Bumbung Dunia'?","Dataran Tinggi Tibet","Dataran Tinggi Deccan","Dataran Tinggi Siberia","Dataran Tinggi Anatolia","Dataran Tinggi Tibet adalah dataran tinggi yang tertinggi dan terbesar di dunia, dengan purata ketinggian melebihi 4,500 meter."
124,Asia,Sungai & Tasik,SEDERHANA,"Sungai Indus yang menjadi asas kepada Tamadun Lembah Indus mengalir melalui China, India dan...?","Pakistan","Afghanistan","Bangladesh","Nepal","Sungai Indus mengalir dari Tibet, melalui wilayah Ladakh di India, dan kemudian ke seluruh Pakistan sebelum berakhir di Laut Arab."
125,Asia,Sungai & Tasik,SEDERHANA,"Tasik Baikal di Siberia, Rusia, memegang rekod sebagai tasik...","Terdalam dan tertua di dunia","Terbesar di dunia dari segi luas permukaan","Paling masin di dunia","Paling tinggi di dunia","Tasik Baikal adalah tasik air tawar terdalam dan tertua di dunia, dan juga mengandungi lebih banyak air daripada semua tasik air tawar lain jika digabungkan."
126,Asia,Sejarah & Tamadun,SEDERHANA,"Jalan Sutera (Silk Road) adalah rangkaian laluan perdagangan purba yang menghubungkan China dengan...","Eropah dan Timur Tengah","Asia Tenggara","Jepun dan Korea","India dan Afrika","Jalan Sutera adalah laluan penting untuk perdagangan sutera, rempah, dan idea antara tamadun China, India, Parsi, Arab, dan Eropah."
127,Asia,Sejarah & Tamadun,SEDERHANA,"Empayar Mongol yang diasaskan oleh Genghis Khan pada abad ke-13 merupakan empayar...","Daratan bersebelahan yang terbesar dalam sejarah","Maritim yang terbesar dalam sejarah","Yang paling lama bertahan dalam sejarah","Yang paling kaya dalam sejarah","Empayar Mongol adalah empayar daratan bersebelahan (contiguous) yang terbesar dalam sejarah dunia, terbentang dari Eropah Timur hingga ke Laut Jepun."
128,Asia,Mercu Tanda Terkenal,SEDERHANA,"Kota Larangan (Forbidden City), sebuah kompleks istana yang luas, terletak di tengah-tengah bandar...","Beijing, China","Seoul, Korea Selatan","Kyoto, Jepun","Taipei, Taiwan","Kota Larangan adalah istana empayar China dari zaman Dinasti Ming hingga akhir Dinasti Qing (1420 hingga 1912)."
129,Asia,Mercu Tanda Terkenal,SEDERHANA,"Petra, sebuah bandar purba yang diukir pada batu, terletak di negara...","Jordan","Mesir","Syria","Arab Saudi","Petra terkenal dengan seni bina batunya, terutamanya 'Al-Khazneh' (Perbendaharaan), dan merupakan Tapak Warisan Dunia UNESCO."
130,Asia,Negara & Ibu Negara,SEDERHANA,"Ashgabat, ibu negara Turkmenistan, terkenal dengan bangunan-bangunannya yang kebanyakannya berwarna putih dan diperbuat daripada...","Batu marmar","Batu granit","Batu kapur","Pasir","Ashgabat memegang Rekod Dunia Guinness untuk kepekatan bangunan bermarmar putih yang tertinggi di dunia."
131,Asia,Negara & Ibu Negara,SEDERHANA,"Sri Lanka dahulunya dikenali sebagai...","Ceylon","Siam","Formosa","Parsi","Sri Lanka dikenali sebagai Ceylon sehingga tahun 1972."
132,Asia,Sungai & Tasik,SEDERHANA,"Sungai Ganges (Ganga) dianggap suci oleh penganut agama Hindu. Ia mengalir melalui India dan berakhir di negara...","Bangladesh","Pakistan","Nepal","Myanmar","Sungai Ganges mengalir ke Teluk Bengal melalui delta yang luas di Bangladesh."
133,Asia,Sejarah & Tamadun,SEDERHANA,"Kertas, serbuk letupan, kompas dan percetakan adalah empat ciptaan agung dari tamadun...","China Purba","India Purba","Parsi Purba","Jepun Purba","Keempat-empat ciptaan ini dianggap sebagai sumbangan terpenting tamadun China purba kepada dunia."
134,Asia,Negara & Ibu Negara,SEDERHANA,"Negara manakah yang terletak di benua Asia dan Eropah?","Turki","Rusia","Kazakhstan","Mesir","Turki adalah sebuah negara transbenua, dengan sebahagian kecil wilayahnya (Thrace) di Eropah dan sebahagian besar (Anatolia) di Asia."
135,Asia,Negara & Ibu Negara,SUKAR,"Pyongyang adalah ibu negara bagi...","Korea Utara","Korea Selatan","Mongolia","Tibet","Pyongyang adalah ibu negara dan bandar terbesar Republik Demokratik Rakyat Korea (Korea Utara)."
136,Asia,Negara & Ibu Negara,SUKAR,"Tashkent adalah ibu negara bagi...","Uzbekistan","Tajikistan","Kyrgyzstan","Turkmenistan","Tashkent adalah ibu negara dan bandar terbesar di Uzbekistan, serta pusat ekonomi dan budaya di Asia Tengah."
137,Asia,Gunung & Banjaran,SUKAR,"Apakah nama banjaran gunung yang memisahkan benua Eropah dan Asia di Rusia?","Banjaran Ural","Banjaran Caucasus","Banjaran Altai","Banjaran Tian Shan","Secara tradisional, Banjaran Ural dianggap sebagai sempadan semula jadi antara benua Eropah dan Asia."
138,Asia,Sungai & Tasik,SUKAR,"Laut Aral yang terletak di antara Kazakhstan dan Uzbekistan telah mengecut secara drastik akibat...","Pengalihan air sungai untuk projek pengairan","Perubahan iklim global","Pembinaan empangan hidroelektrik","Pencemaran industri","Sungai-sungai yang mengalir ke Laut Aral telah dialihkan oleh Kesatuan Soviet pada tahun 1960-an untuk mengairi tanaman kapas, menyebabkan laut itu hampir kering."
139,Asia,Sejarah & Tamadun,SUKAR,"Kod Hammurabi, salah satu set undang-undang bertulis tertua yang paling lengkap, berasal dari tamadun...","Babylon (Mesopotamia)","Assyria (Mesopotamia)","Parsi","Hittite","Kod Hammurabi telah digubal oleh Raja Babylon, Hammurabi, sekitar tahun 1754 SM."
140,Asia,Sejarah & Tamadun,SUKAR,"Sistem kasta yang membahagikan masyarakat kepada beberapa kelas sosial adalah ciri utama tamadun purba di...","India","China","Jepun","Parsi","Sistem kasta adalah satu bentuk stratifikasi sosial yang sangat kompleks yang berasal dari tamadun India purba."
141,Asia,Mercu Tanda Terkenal,SUKAR,"Hagia Sophia di Istanbul, Turki, pada asalnya dibina sebagai sebuah gereja, kemudian ditukar menjadi masjid, muzium, dan kini masjid semula. Ia dibina oleh empayar...","Byzantine (Rom Timur)","Uthmaniyyah","Rom Barat","Parsi","Hagia Sophia dibina pada abad ke-6 sebagai katedral utama Empayar Byzantine di ibu kotanya, Constantinople (kini Istanbul)."
142,Asia,Mercu Tanda Terkenal,SUKAR,"Apakah nama padang pasir terbesar di Semenanjung Arab, yang juga dikenali sebagai 'Kawasan Kosong' (Empty Quarter)?","Rub' al Khali","Gurun Gobi","Gurun Thar","Gurun Karakum","Rub' al Khali adalah padang pasir berpasir (erg) yang terbesar di dunia, meliputi sebahagian besar selatan Semenanjung Arab."
143,Asia,Negara & Ibu Negara,SUKAR,"Thimphu adalah ibu negara bagi kerajaan Himalaya...","Bhutan","Nepal","Sikkim","Kashmir","Thimphu adalah ibu negara dan bandar terbesar Kerajaan Bhutan."
144,Asia,Negara & Ibu Negara,SUKAR,"Negara manakah yang dahulunya dikenali sebagai Parsi?","Iran","Iraq","Syria","Jordan","Iran secara rasmi dikenali sebagai Parsi sehingga tahun 1935."
145,Asia,Gunung & Banjaran,SUKAR,"Apakah nama titik terendah di permukaan daratan Bumi yang terletak di Asia?","Pantai Laut Mati","Lembangan Turpan","Lurah Jordan","Danau Assal","Pantai Laut Mati, yang dikongsi oleh Israel dan Jordan, adalah daratan yang paling rendah di Bumi, pada kira-kira 430 meter di bawah aras laut."
146,Asia,Sungai & Tasik,SUKAR,"Sungai Tigris dan Euphrates berasal dari pergunungan di negara mana sebelum mengalir melalui Syria dan Iraq?","Turki","Iran","Armenia","Azerbaijan","Kedua-dua sungai ini berpunca dari kawasan pergunungan di timur Turki."
147,Asia,Sejarah & Tamadun,SUKAR,"Angka sifar (0) sebagai satu konsep matematik dan nombor telah dicipta oleh ahli matematik dari tamadun...","India","China","Babylon","Maya","Konsep sifar dan sistem angka perpuluhan moden berasal dari India purba."
148,Asia,Negara & Ibu Negara,SUKAR,"Taiwan secara rasminya dikenali sebagai...","Republik China (Republic of China)","Republik Rakyat China (People's Republic of China)","Republik Taiwan (Republic of Taiwan)","Negara China Taipei (State of Chinese Taipei)","Nama rasmi Taiwan ialah Republik China (ROC), berbeza daripada Republik Rakyat China (PRC) yang memerintah tanah besar."
149,Asia,Negara & Ibu Negara,SUKAR,"Negara manakah yang tidak mempunyai sungai kekal?","Arab Saudi","Iraq","Iran","Turki","Arab Saudi adalah negara terbesar di dunia yang tidak mempunyai sebarang sungai yang mengalir sepanjang tahun."
150,Asia,Mercu Tanda Terkenal,SUKAR,"Apakah nama tapak arkeologi di Pakistan yang merupakan salah satu penempatan bandar terbesar bagi tamadun Lembah Indus?","Mohenjo-Daro","Harappa","Lothal","Taxila","Mohenjo-Daro, yang bermaksud 'Gundukan Orang Mati', adalah sebuah bandar yang sangat terancang yang dibina sekitar 2500 SM."
151,Dunia,Benua (Eropah),MUDAH,"Apakah ibu negara bagi Perancis?","Paris","London","Rom","Berlin","Paris, yang terkenal dengan Menara Eiffel dan Muzium Louvre, adalah ibu negara Perancis."
152,Dunia,Benua (Eropah),MUDAH,"Colosseum, sebuah amfiteater purba yang besar, terletak di bandar...","Rom, Itali","Athens, Greece","Paris, Perancis","London, UK","Colosseum adalah simbol ikonik bagi bandar Rom dan merupakan amfiteater terbesar yang pernah dibina."
153,Dunia,Benua (Afrika),MUDAH,"Apakah sungai terpanjang di dunia?","Sungai Nil","Sungai Amazon","Sungai Yangtze","Sungai Mississippi","Sungai Nil di Afrika adalah sungai terpanjang di dunia, mengalir ke utara menuju Laut Mediterranean."
154,Dunia,Benua (Afrika),MUDAH,"Piramid Giza yang terkenal terletak di negara...","Mesir","Sudan","Libya","Algeria","Piramid-piramid Giza, termasuk Piramid Agung, dibina sebagai makam untuk firaun-firaun Mesir purba."
155,Dunia,Benua (Amerika Utara),MUDAH,"Patung Liberty (Statue of Liberty) adalah hadiah dari Perancis kepada negara mana?","Amerika Syarikat","Kanada","Mexico","Brazil","Patung Liberty di New York adalah hadiah daripada rakyat Perancis kepada Amerika Syarikat pada tahun 1886."
156,Dunia,Benua (Amerika Utara),MUDAH,"Apakah ibu negara bagi Kanada?","Ottawa","Toronto","Vancouver","Montreal","Walaupun Toronto adalah bandar terbesar, Ottawa adalah ibu negara bagi Kanada."
157,Dunia,Benua (Amerika Selatan),MUDAH,"Hutan hujan yang terbesar di dunia ialah...","Hutan Hujan Amazon","Hutan Hujan Congo","Hutan Hujan Daintree","Hutan Hujan Borneo","Hutan Hujan Amazon di Amerika Selatan adalah hutan hujan tropika yang terbesar di dunia."
158,Dunia,Benua (Amerika Selatan),MUDAH,"Negara manakah yang terkenal dengan tarian Samba dan sukan bola sepak?","Brazil","Argentina","Colombia","Chile","Brazil terkenal di seluruh dunia dengan budaya karnival, tarian Samba, dan kejayaan pasukan bola sepaknya."
159,Dunia,Benua (Oceania),MUDAH,"Apakah haiwan marsupial yang melompat dan menjadi simbol Australia?","Kanggaru","Koala","Wombat","Wallaby","Kanggaru adalah mamalia berkantung (marsupial) yang terkenal dari Australia."
160,Dunia,Benua (Oceania),MUDAH,"Apakah ibu negara bagi Australia?","Canberra","Sydney","Melbourne","Brisbane","Walaupun Sydney dan Melbourne lebih besar, Canberra dipilih sebagai ibu negara kompromi pada tahun 1908."
161,Dunia,Benua (Antartika),MUDAH,"Benua manakah yang paling sejuk, kering, dan berangin di dunia?","Antartika","Asia","Afrika","Eropah","Antartika adalah benua yang hampir keseluruhannya diliputi ais dan merupakan tempat paling sejuk di Bumi."
162,Dunia,Lautan Dunia,MUDAH,"Berapakah bilangan lautan utama di dunia?","5","4","3","6","Lima lautan utama ialah Pasifik, Atlantik, Hindi, Selatan (Antartik), dan Artik."
163,Dunia,Lautan Dunia,MUDAH,"Lautan manakah yang terbesar dan terdalam di dunia?","Lautan Pasifik","Lautan Atlantik","Lautan Hindi","Lautan Artik","Lautan Pasifik meliputi kira-kira satu pertiga daripada permukaan Bumi."
164,Dunia,Organisasi Antarabangsa,MUDAH,"Apakah nama singkatan bagi Pertubuhan Bangsa-Bangsa Bersatu?","PBB (UN)","WHO","UNESCO","UNICEF","Pertubuhan Bangsa-Bangsa Bersatu (United Nations) adalah organisasi antarabangsa yang ditubuhkan untuk menggalakkan keamanan dan kerjasama dunia."
165,Dunia,Benua (Eropah),MUDAH,"Tembok Berlin yang memisahkan bandar itu selama hampir 30 tahun terletak di negara mana?","Jerman","Poland","Hungary","Austria","Tembok Berlin memisahkan Berlin Barat dan Berlin Timur (dan seluruh Jerman Timur) dari tahun 1961 hingga 1989."
166,Dunia,Benua (Afrika),MUDAH,"Gurun manakah yang terbesar di dunia?","Gurun Sahara","Gurun Gobi","Gurun Arab","Gurun Kalahari","Gurun Sahara di utara Afrika adalah gurun panas terbesar di dunia, meliputi sebahagian besar kawasan tersebut."
167,Dunia,Benua (Amerika Utara),MUDAH,"Grand Canyon, sebuah ngarai curam yang sangat besar, terletak di negeri Arizona, ...","Amerika Syarikat","Mexico","Kanada","Cuba","Grand Canyon diukir oleh Sungai Colorado selama berjuta-juta tahun dan merupakan salah satu keajaiban semula jadi dunia."
168,Dunia,Benua (Eropah),SEDERHANA,"Negara manakah yang terkenal dengan kincir angin, bunga tulip, dan terusan?","Belanda (Netherlands)","Denmark","Belgium","Switzerland","Imej kincir angin, tulip, dan terusan sangat sinonim dengan landskap dan budaya Belanda."
169,Dunia,Benua (Eropah),SEDERHANA,"Parthenon, sebuah kuil purba yang didedikasikan untuk dewi Athena, terletak di atas Akropolis di bandar...","Athens, Greece","Rom, Itali","Sparta, Greece","Olympia, Greece","Parthenon adalah simbol utama tamadun Yunani kuno dan demokrasi Athens."
170,Dunia,Benua (Afrika),SEDERHANA,"Apakah nama air terjun terbesar di dunia dari segi isipadu air yang terletak di sempadan Zambia dan Zimbabwe?","Air Terjun Victoria","Air Terjun Niagara","Air Terjun Angel","Air Terjun Iguazu","Air Terjun Victoria, yang dikenali oleh penduduk tempatan sebagai 'Mosi-oa-Tunya' (Asap yang Berguruh), membentuk tirai air terbesar di dunia."
171,Dunia,Benua (Afrika),SEDERHANA,"Nelson Mandela adalah seorang pemimpin anti-aparteid yang menjadi presiden pertama bagi negara...","Afrika Selatan","Nigeria","Kenya","Ghana","Nelson Mandela berjuang menentang sistem aparteid (pemisahan kaum) dan menjadi presiden kulit hitam pertama Afrika Selatan."
172,Dunia,Benua (Amerika Utara),SEDERHANA,"Terusan Panama menghubungkan Lautan Atlantik dengan lautan mana?","Lautan Pasifik","Lautan Hindi","Lautan Artik","Lautan Selatan","Terusan Panama adalah jalan air buatan manusia yang memendekkan perjalanan kapal dengan membenarkan mereka merentasi Segenting Panama."
173,Dunia,Benua (Amerika Selatan),SEDERHANA,"Machu Picchu, sebuah kota purba kaum Inca, terletak di pergunungan Andes di negara...","Peru","Chile","Bolivia","Ecuador","Machu Picchu adalah tapak kubu kaum Inca yang paling terkenal, terletak tinggi di Banjaran Andes."
174,Dunia,Benua (Amerika Selatan),SEDERHANA,"Kepulauan Galapagos yang terkenal dengan hidupan liar unik yang mengilhamkan Teori Evolusi Charles Darwin adalah milik negara...","Ecuador","Colombia","Peru","Chile","Kepulauan Galapagos terletak di Lautan Pasifik dan merupakan sebuah wilayah di Ecuador."
175,Dunia,Benua (Oceania),SEDERHANA,"Apakah nama penduduk asli Australia?","Aborigin","Maori","Polinesia","Melanesia","Orang Aborigin adalah penduduk asal benua Australia, dengan budaya yang merupakan antara yang tertua di dunia."
176,Dunia,Benua (Oceania),SEDERHANA,"Penduduk asli New Zealand dikenali sebagai...","Maori","Aborigin","Samoa","Fiji","Orang Maori adalah penduduk Polinesia asli New Zealand dan budaya mereka memainkan peranan penting dalam identiti negara itu."
177,Dunia,Benua (Antartika),SEDERHANA,"Haiwan apakah yang paling sinonim dengan benua Antartika?","Penguin","Beruang kutub","Walrus","Anjing laut","Pelbagai spesis penguin, seperti Penguin Maharaja dan Adélie, hidup dan membiak di Antartika. Beruang kutub hanya hidup di Artik."
178,Dunia,Lautan Dunia,SEDERHANA,"Segitiga Bermuda, sebuah kawasan misteri di mana kapal dan pesawat dilaporkan hilang, terletak di bahagian barat...","Lautan Atlantik","Lautan Pasifik","Lautan Hindi","Lautan Artik","Segitiga Bermuda secara umumnya terletak di antara Bermuda, Florida, dan Puerto Rico di Lautan Atlantik."
179,Dunia,Organisasi Antarabangsa,SEDERHANA,"Ibu pejabat Pertubuhan Bangsa-Bangsa Bersatu (PBB) terletak di bandar...","New York, Amerika Syarikat","Geneva, Switzerland","Paris, Perancis","London, UK","Kompleks ibu pejabat PBB terletak di Manhattan, New York City, di atas tanah yang dianggap wilayah antarabangsa."
180,Dunia,Organisasi Antarabangsa,SEDERHANA,"WHO adalah agensi PBB yang bertanggungjawab dalam bidang...","Kesihatan awam antarabangsa","Pendidikan, sains dan budaya","Kanak-kanak","Makanan dan pertanian","Pertubuhan Kesihatan Sedunia (World Health Organization) berusaha untuk memastikan semua orang mencapai tahap kesihatan yang terbaik."
181,Dunia,Benua (Afrika),SEDERHANA,"Tasik Victoria, tasik air tawar kedua terbesar di dunia, dikongsi oleh tiga negara: Uganda, Kenya, dan...?","Tanzania","Rwanda","Burundi","Sudan Selatan","Tasik Victoria adalah tasik terbesar di Afrika dan merupakan sumber utama bagi cawangan Sungai Nil Putih."
182,Dunia,Benua (Amerika Selatan),SEDERHANA,"Apakah nama padang pasir di Chile yang merupakan tempat paling kering di dunia?","Gurun Atacama","Gurun Patagonia","Gurun Sechura","Gurun Monte","Beberapa kawasan di Gurun Atacama tidak pernah menerima hujan yang boleh diukur."
183,Dunia,Benua (Eropah),SEDERHANA,"Negara manakah yang berbentuk seperti but dan terletak di Laut Mediterranean?","Itali","Greece","Sepanyol","Portugal","Peta negara Itali sering digambarkan kelihatan seperti but berhak tinggi."
184,Dunia,Benua (Eropah),SUKAR,"Negara manakah yang mempunyai empat bahasa rasmi: Jerman, Perancis, Itali, dan Romansh?","Switzerland","Belgium","Luxembourg","Austria","Switzerland terkenal dengan dasar neutralitinya dan kepelbagaian bahasanya yang diiktiraf secara rasmi."
185,Dunia,Benua (Eropah),SUKAR,"Vatican City, negara terkecil di dunia, terletak di dalam bandar...","Rom, Itali","Paris, Perancis","Madrid, Sepanyol","Vienna, Austria","Vatican City adalah sebuah negara-kota berdaulat yang enklafnya terletak di dalam Rom, Itali."
