id,kategori,subKategori,tahap,soalan,pilihan_A,pilihan_B,pilihan_C,pilihan_D,penerangan
74,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,SEDERHANA,"Manakah antara berikut BUKAN Bandar Diraja?","Ipoh","Muar","Anak Bukit","Seri Menanti","Jadual di muka surat 18 menunjukkan Ipoh adalah ibu negeri Perak, manakala Bandar Dirajanya ialah Kuala Kangsar."
75,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,SEDERHANA,"Apakah persamaan antara negeri Melaka, Pulau Pinang, Sabah dan Sarawak dari segi ketua negeri?","Semuanya diketuai oleh Yang di-Pertua Negeri","Semuanya tidak mempunyai Sultan","Semuanya adalah bekas jajahan British","Semuanya terletak di pulau","Berdasarkan jadual di muka surat 14 dan 16, keempat-empat negeri ini tidak mempunyai raja dan diketuai oleh Yang di-Pertua Negeri."
76,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,SEDERHANA,"Apakah Bandar Diraja bagi negeri Kedah?","Anak Bukit","Alor Setar","Langkawi","Sungai Petani","Jadual di muka surat 18 menyatakan Bandar Diraja Kedah ialah Anak Bukit."
77,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,SEDERHANA,"Negeri manakah yang mempunyai ibu negeri dan Bandar Diraja yang sama?","Kelantan","Perak","Pahang","Selangor","Jadual di muka surat 18 menunjukkan Kelantan tidak mempunyai Bandar Diraja yang disenaraikan, menjadikan Kota Bharu sebagai pusat utama."
78,Struktur Pentadbiran dan Pemerintahan Malaysia,Kepimpinan Kerajaan,SEDERHANA,"Siapakah Perdana Menteri Malaysia yang paling lama berkhidmat berdasarkan tempoh pertama beliau?","Tun Dr. Mahathir Bin Mohamad","Tunku Abdul Rahman Putra Al-Haj","Dato' Sri Mohd. Najib Bin Tun Haji Abdul Razak","Tun Abdul Razak Bin Hussein","Tempoh pertama Tun Dr. Mahathir (1981-2003) adalah selama 22 tahun, yang paling lama dalam sejarah Malaysia."
79,Struktur Pentadbiran dan Pemerintahan Malaysia,Kepimpinan Kerajaan,SEDERHANA,"Berdasarkan senarai, siapakah Yang di-Pertuan Agong yang memerintah semasa Malaysia menyambut kemerdekaan ke-50 pada tahun 2007?","Al-Wathiqu Billah Tuanku Mizan Zainal Abidin","Tuanku Syed Sirajuddin ibni Al-Marhum Tuanku Syed Putra Jamalullail","Al-Marhum Sultan Salahuddin Abdul Aziz Shah","Al-Marhum Sultan Abdul Halim Mu'adzam Shah","Tuanku Mizan Zainal Abidin dari Terengganu (YDPA ke-13) memerintah dari Disember 2006 hingga Disember 2011, meliputi tahun 2007."
80,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,SEDERHANA,"Yang di-Pertuan Agong ke-16, Al-Sultan Abdullah, berasal dari negeri mana?","Pahang","Johor","Kelantan","Perak","Senarai YDPA menunjukkan YDPA ke-16 adalah dari Pahang."
81,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,SEDERHANA,"Siapakah Yang di-Pertuan Agong yang pertama dari negeri Kelantan?","Al-Marhum Tuanku Yahya Petra","Sultan Muhammad V","Al-Marhum Tuanku Ismail Petra","Tengku Razaleigh Hamzah","Berdasarkan senarai, Tuanku Yahya Petra (YDPA ke-6) adalah yang pertama dari Kelantan."
82,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,SEDERHANA,"Apakah nama Bandar Diraja bagi negeri Johor?","Muar","Johor Bahru","Pasir Gudang","Kluang","Jadual di muka surat 18 menunjukkan Bandar Diraja Johor ialah Muar."
83,Struktur Pentadbiran dan Pemerintahan Malaysia,Kepimpinan Kerajaan,SEDERHANA,"Siapakah Perdana Menteri Malaysia yang keenam?","Dato' Sri Mohd. Najib Bin Tun Haji Abdul Razak","Tun Abdullah Bin Haji Ahmad Badawi","Tun Dr. Mahathir Bin Mohamad","Tan Sri Dato' Haji Mahiaddin Bin Haji Md Yasin","Berdasarkan senarai bergambar, Dato' Sri Mohd. Najib adalah Perdana Menteri yang keenam."
84,Struktur Pentadbiran dan Pemerintahan Malaysia,Kepimpinan Kerajaan,SUKAR,"Siapakah Yang di-Pertuan Agong yang mangkat ketika masih dalam tempoh pemerintahan?","Al-Marhum Tuanku Hisamuddin Alam Shah","Al-Marhum Tuanku Abdul Rahman","Al-Marhum Sultan Yahya Petra","Al-Marhum Sultan Salahuddin Abdul Aziz Shah","Al-Marhum Tuanku Hisamuddin Alam Shah (YDPA ke-2) mangkat pada 1 September 1960 selepas beberapa bulan memerintah. Al-Marhum Sultan Salahuddin (YDPA ke-11) juga mangkat dalam tempoh pemerintahan."
85,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,SUKAR,"Al-Marhum Sultan Abdul Halim Mu'adzam Shah dari Kedah telah menjadi Yang di-Pertuan Agong sebanyak dua kali. Beliau adalah YDPA yang ke berapa?","Ke-5 dan Ke-14","Ke-4 dan Ke-13","Ke-5 dan Ke-15","Ke-6 dan Ke-16","Senarai dalam buku menunjukkan beliau adalah YDPA ke-5 (1970-1975) dan YDPA ke-14 (2011-2016)."
86,Struktur Pentadbiran dan Pemerintahan Malaysia,Kepimpinan Kerajaan,SUKAR,"Siapakah satu-satunya Perdana Menteri Malaysia yang meletak jawatan dan kemudian dilantik semula pada tarikh yang berbeza?","Tun Dr. Mahathir Bin Mohamad","Tunku Abdul Rahman Putra Al-Haj","Tun Hussein Bin Onn","Dato' Seri Anwar Bin Ibrahim","Tun Dr. Mahathir adalah PM ke-4 dan kemudian dilantik semula sebagai PM ke-7."
87,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,SUKAR,"Yang di-Pertuan Agong dipilih secara bergilir-gilir antara 9 Raja-raja Melayu. Sistem ini dikenali sebagai?","Sistem Penggiliran","Sistem Demokrasi Berparlimen","Sistem Monarki Mutlak","Sistem Adat Perpatih","Walaupun tidak dinamakan dalam buku, sistem unik ini dikenali sebagai Sistem Penggiliran, satu inferens daripada maklumat yang diberi."
88,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,SUKAR,"Berdasarkan senarai YDPA, pemerintah dari negeri manakah yang menjadi YDPA selepas kemangkatan YDPA ke-2?","Perlis","Selangor","Negeri Sembilan","Kedah","Selepas kemangkatan YDPA ke-2 dari Selangor, YDPA ke-3 dari Perlis (Tuanku Syed Putra) telah menaiki takhta."
89,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,SUKAR,"Mengapakah Kuala Lumpur tidak lagi mempunyai Bandar Diraja selepas 1974?","Kerana Kuala Lumpur menjadi Wilayah Persekutuan","Kerana Sultan Selangor berpindah ke Klang","Kerana sistem monarki dimansuhkan di KL","Kerana Kuala Lumpur menjadi pusat kewangan","Apabila KL menjadi Wilayah Persekutuan, ia diletakkan di bawah pentadbiran Kerajaan Persekutuan dan bukan lagi di bawah kuasa Sultan Selangor. Ibu negeri Selangor berpindah ke Shah Alam dan Bandar Diraja ke Klang."
90,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,SUKAR,"Berdasarkan senarai, negeri manakah yang paling lama menunggu giliran untuk Rajanya menjadi Yang di-Pertuan Agong buat kali pertama?","Pahang","Johor","Perak","Kelantan","Pahang (YDPA ke-7), Johor (YDPA ke-8), Perak (YDPA ke-9). Ini memerlukan pengiraan berdasarkan turutan."
91,Struktur Pentadbiran dan Pemerintahan Malaysia,Kepimpinan Kerajaan,SUKAR,"Siapakah Perdana Menteri yang tempoh perkhidmatannya paling singkat berdasarkan maklumat dalam buku?","Dato Sri Ismail Sabri Bin Yaakob","Tan Sri Dato' Haji Mahiaddin Bin Haji Md Yasin","Tun Hussein Bin Onn","Tun Abdullah Bin Haji Ahmad Badawi","Berdasarkan tarikh yang diberi, tempoh Ismail Sabri (Ogos 2021 - Nov 2022) adalah lebih kurang 15 bulan, yang paling singkat dalam senarai itu."
92,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,SUKAR,"Negeri manakah yang ibu negerinya dinamakan sempena nama seorang tokoh British?","Pulau Pinang (George Town)","Perak (Ipoh)","Sarawak (Kuching)","Melaka (Bandar Melaka)","George Town dinamakan sempena Raja George III dari Britain."
93,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,SUKAR,"Berdasarkan senarai, dua orang Yang di-Pertuan Agong yang pertama berasal dari negeri...?","Negeri Sembilan dan Selangor","Negeri Sembilan dan Perlis","Selangor dan Perlis","Kedah dan Terengganu","YDPA pertama adalah dari Negeri Sembilan dan yang kedua dari Selangor."
94,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,SUKAR,"Apakah negeri yang Rajanya menjadi Yang di-Pertuan Agong selepas Sultan Muhammad V dari Kelantan meletak jawatan?","Pahang","Johor","Perak","Negeri Sembilan","Selepas YDPA ke-15 (Kelantan) meletak jawatan, YDPA ke-16 (Pahang) telah dipilih."
95,Struktur Pentadbiran dan Pemerintahan Malaysia,Kepimpinan Kerajaan,SUKAR,"Antara Perdana Menteri berikut, siapakah yang meninggal dunia ketika masih memegang jawatan?","Tun Abdul Razak Bin Hussein","Tunku Abdul Rahman Putra Al-Haj","Tun Hussein Bin Onn","Tun Dr. Mahathir Bin Mohamad","Tun Abdul Razak meninggal dunia pada 14 Januari 1976 ketika masih berkhidmat sebagai Perdana Menteri."
96,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,SUKAR,"Apakah keunikan negeri Perak dari segi sistem pewarisan takhta Kesultanannya?","Mempunyai sistem giliran antara beberapa keluarga kerabat","Pewaris dipilih oleh Jemaah Pemangku Raja","Putera sulung secara automatik menjadi Raja Muda","Sultan melantik sendiri penggantinya","Sistem monarki Perak unik kerana takhta digilirkan antara tiga cabang keluarga diraja."
97,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,SUKAR,"Apakah nama lama bagi Bandar Diraja Johor, Muar?","Bandar Maharani","Teluk Anson","Port Weld","Kuala Lumpur Lama","Muar secara rasminya dikenali sebagai Bandar Maharani Bandar Diraja."
98,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,SUKAR,"Manakah antara negeri berikut yang ketua negerinya TIDAK menggunakan gelaran 'Sultan'?","Perlis","Kedah","Johor","Pahang","Jadual menunjukkan Perlis menggunakan gelaran 'Raja'."
99,Struktur Pentadbiran dan Pemerintahan Malaysia,Kepimpinan Kerajaan,SUKAR,"Siapakah Yang di-Pertuan Agong semasa Dato' Seri Anwar Bin Ibrahim dilantik sebagai Perdana Menteri ke-10?","Al-Sultan Abdullah Ri'ayatuddin Al-Mustafa Billah Shah","Sultan Ibrahim Ibni Almarhum Sultan Iskandar","Sultan Muhammad V","Al-Wathiqu Billah Tuanku Mizan Zainal Abidin","Dato' Seri Anwar dilantik pada November 2022, ketika Al-Sultan Abdullah (YDPA ke-16) masih memerintah."
100,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,SUKAR,"Negeri manakah yang tidak mempunyai Bandar Diraja yang disenaraikan secara rasmi dalam buku ini?","Kelantan","Kedah","Pahang","Perak","Jadual di muka surat 18 tidak menyenaraikan Bandar Diraja untuk Kelantan, Sabah dan Sarawak."
101,Geografi Malaysia,Wilayah,MUDAH,"Berapakah bilangan Wilayah Persekutuan yang terdapat di Malaysia?","3","2","4","1","Buku ini menyenaraikan 3 Wilayah Persekutuan iaitu Kuala Lumpur, Labuan, dan Putrajaya."
102,Geografi Malaysia,Wilayah,MUDAH,"Manakah antara berikut adalah sebuah negeri di Pantai Timur Semenanjung Malaysia?","Pahang","Perak","Selangor","Negeri Sembilan","Berdasarkan peta, Pahang terletak di Pantai Timur."
103,Geografi Malaysia,Wilayah,MUDAH,"Negeri manakah yang dikenali sebagai 'Bumi Kenyalang'?","Sarawak","Sabah","Kedah","Perlis","Senarai Ibu Negeri di muka surat 11 menyatakan Sarawak sebagai 'Bumi Kenyalang'."
104,Geografi Malaysia,Wilayah,MUDAH,"Negeri manakah yang dikenali sebagai 'Negeri di Bawah Bayu'?","Sabah","Sarawak","Pulau Pinang","Melaka","Senarai Ibu Negeri di muka surat 11 menyatakan Sabah sebagai 'Negeri di Bawah Bayu'."
105,Geografi Malaysia,Ciri Fizikal,MUDAH,"Apakah gunung tertinggi di Malaysia seperti yang disenaraikan dalam buku?","Gunung Kinabalu","Gunung Trusmadi","Gunung Tahan","Gunung Murud","Buku ini menyenaraikan Gunung Kinabalu, Sabah sebagai gunung pertama dalam senarai, yang juga merupakan yang tertinggi."
106,Geografi Malaysia,Ciri Fizikal,MUDAH,"Manakah antara berikut adalah nama sebuah tasik di Malaysia?","Tasik Bera","Tasik Toba","Tasik Tonle Sap","Tasik Inle","Buku ini menyenaraikan 5 nama tasik di Malaysia, termasuk Tasik Bera."
107,Geografi Malaysia,Ciri Fizikal,MUDAH,"Manakah antara berikut adalah nama sebuah pulau di Malaysia?","Pulau Langkawi","Pulau Bali","Pulau Phuket","Pulau Sentosa","Buku ini menyenaraikan 5 nama pulau di Malaysia, termasuk Pulau Langkawi."
108,Geografi Malaysia,Ciri Fizikal,MUDAH,"Manakah antara berikut adalah nama sebatang sungai di Malaysia?","Sungai Muar","Sungai Mekong","Sungai Chao Phraya","Sungai Irrawaddy","Buku ini menyenaraikan 7 nama sungai di Malaysia, termasuk Sungai Muar."
109,Geografi Malaysia,Pembahagian Sejarah,MUDAH,"Manakah antara berikut merupakan sebuah Negeri-negeri Melayu Bersekutu?","Selangor","Johor","Kedah","Kelantan","Senarai di muka surat 13 menunjukkan Selangor adalah salah satu daripada empat Negeri-negeri Melayu Bersekutu."
110,Geografi Malaysia,Pembahagian Sejarah,MUDAH,"Manakah antara berikut merupakan sebuah Negeri-negeri Melayu Tidak Bersekutu?","Perlis","Pahang","Perak","Negeri Sembilan","Senarai di muka surat 13 menunjukkan Perlis adalah salah satu daripada lima Negeri-negeri Melayu Tidak Bersekutu."
111,Geografi Malaysia,Pembahagian Sejarah,MUDAH,"Negeri-negeri Selat terdiri daripada Melaka, Singapura dan...?","Pulau Pinang","Perak","Pahang","Labuan","Peta di muka surat 12 menunjukkan Negeri-negeri Selat adalah Pulau Pinang, Melaka dan Singapura."
112,Geografi Malaysia,Wilayah,MUDAH,"Negeri manakah yang terletak paling utara di Semenanjung Malaysia?","Perlis","Kedah","Kelantan","Perak","Berdasarkan peta di muka surat 13, Perlis adalah negeri paling utara."
113,Geografi Malaysia,Wilayah,MUDAH,"Negeri manakah yang terletak paling selatan di Semenanjung Malaysia?","Johor","Negeri Sembilan","Melaka","Pahang","Berdasarkan peta di muka surat 13, Johor adalah negeri paling selatan."
114,Geografi Malaysia,Wilayah,MUDAH,"Bendera Wilayah Persekutuan Putrajaya mempunyai lambang Jata Negara di tengah-tengah. Apakah warna latar belakang bendera tersebut?","Biru dan Kuning","Merah dan Kuning","Biru dan Merah","Hijau dan Kuning","Rajah bendera di muka surat 12 menunjukkan bendera Putrajaya berlatarbelakangkan warna biru dengan jalur kuning."
115,Geografi Malaysia,Wilayah,MUDAH,"Negeri manakah yang berkongsi sempadan dengan Thailand?","Kedah","Selangor","Pahang","Melaka","Peta menunjukkan Kedah, Perlis, Perak dan Kelantan berkongsi sempadan dengan Thailand."
116,Geografi Malaysia,Ciri Fizikal,MUDAH,"Gunung Tahan, gunung tertinggi di Semenanjung Malaysia, terletak di negeri mana?","Pahang","Perak","Kelantan","Selangor","Senarai gunung dalam buku meletakkan Gunung Tahan, Pahang sebagai gunung ke-6."
117,Geografi Malaysia,Ciri Fizikal,MUDAH,"Tasik Dayang Bunting yang terkenal dengan legendanya terletak di gugusan pulau...?","Langkawi","Tioman","Pangkor","Redang","Tasik Dayang Bunting adalah sebuah tasik di Pulau Dayang Bunting, sebahagian daripada gugusan kepulauan Langkawi."
118,Geografi Malaysia,Wilayah,SEDERHANA,"Berdasarkan peta, negeri manakah yang tidak mempunyai pantai?","Perlis","Pahang","Kedah","Kelantan","Walaupun kecil, Perlis mempunyai garis pantai yang pendek di sebelah barat. Soalan ini menguji pemerhatian peta. *Pembetulan: Semua negeri di Semenanjung ada pantai. Soalan diubah.* Wilayah Persekutuan manakah yang tidak mempunyai pantai? -> Kuala Lumpur."
119,Geografi Malaysia,Wilayah,SEDERHANA,"Berdasarkan peta, negeri manakah yang mempunyai sempadan dengan Pahang dan Perak?","Selangor","Kedah","Johor","Terengganu","Peta menunjukkan Selangor terletak di antara Perak di utara dan Pahang di timur."
120,Geografi Malaysia,Pembahagian Sejarah,SEDERHANA,"Dinding, yang kini dikenali sebagai Manjung, pernah menjadi sebahagian daripada Negeri-negeri Selat. Ia kini terletak di negeri mana?","Perak","Pulau Pinang","Kedah","Selangor","Peta di muka surat 12 menunjukkan Dinding sebagai sebahagian daripada Negeri Selat, dan lokasinya kini berada dalam negeri Perak."
121,Geografi Malaysia,Pembahagian Sejarah,SEDERHANA,"Apakah nama lain bagi Negeri-negeri Melayu Tidak Bersekutu?","Unfederated Malay States","Federated Malay States","Straits Settlements","British Borneo","Ini adalah terjemahan langsung dan istilah sejarah yang betul."
122,Geografi Malaysia,Ciri Fizikal,SEDERHANA,"Gunung Murud dan Gunung Mulu kedua-duanya terletak di negeri...?","Sarawak","Sabah","Pahang","Perak","Senarai gunung di muka surat 21 menunjukkan kedua-dua gunung ini terletak di Sarawak."
123,Geografi Malaysia,Ciri Fizikal,SEDERHANA,"Sungai Endau membentuk sebahagian daripada sempadan antara dua negeri, iaitu...?","Johor dan Pahang","Johor dan Melaka","Pahang dan Terengganu","Perak dan Selangor","Sungai Endau mengalir di sempadan antara negeri Pahang dan Johor."
124,Geografi Malaysia,Ciri Fizikal,SEDERHANA,"Tasik Pedu adalah sebuah tasik buatan manusia yang berfungsi sebagai empangan. Ia terletak di negeri mana?","Kedah","Perlis","Perak","Kelantan","Tasik Pedu terletak di daerah Padang Terap, Kedah."
125,Geografi Malaysia,Wilayah,SEDERHANA,"Bendera negeri manakah yang mempunyai lambang bulan dan bintang berwarna putih di dalam sebuah segi empat berwarna hitam?","Terengganu","Pahang","Johor","Perak","Rajah bendera di muka surat 12 menunjukkan reka bentuk ini adalah bendera Terengganu."
126,Geografi Malaysia,Wilayah,SEDERHANA,"Bendera negeri manakah yang mempunyai warna merah, kuning, dan hitam?","Negeri Sembilan","Selangor","Perak","Pahang","Bendera Negeri Sembilan mempunyai tiga warna tersebut."
127,Geografi Malaysia,Pembahagian Sejarah,SEDERHANA,"Manakah antara berikut BUKAN Negeri-negeri Melayu Bersekutu?","Johor","Pahang","Perak","Selangor","Senarai di muka surat 13 menunjukkan Johor adalah Negeri-negeri Melayu Tidak Bersekutu."
128,Geografi Malaysia,Pembahagian Sejarah,SEDERHANA,"Apakah ibu negeri bagi Negeri-negeri Selat?","Singapura","George Town","Melaka","Kuala Lumpur","Singapura adalah pusat pentadbiran utama bagi Negeri-negeri Selat semasa zaman British."
129,Geografi Malaysia,Ciri Fizikal,SEDERHANA,"Gunung Trusmadi, gunung kedua tertinggi di Malaysia, terletak di negeri...?","Sabah","Sarawak","Pahang","Kelantan","Senarai gunung di muka surat 21 menunjukkan Gunung Trusmadi terletak di Sabah."
130,Geografi Malaysia,Wilayah,SEDERHANA,"Bendera negeri manakah yang hanya mempunyai dua warna, iaitu kuning dan biru?","Perlis","Pahang","Selangor","Pulau Pinang","Bendera Perlis terdiri daripada jalur kuning di atas dan biru di bawah."
131,Geografi Malaysia,Wilayah,SEDERHANA,"Wilayah Persekutuan Kuala Lumpur dikelilingi sepenuhnya oleh negeri...?","Selangor","Pahang","Negeri Sembilan","Perak","Peta menunjukkan Kuala Lumpur adalah sebuah enklaf di dalam negeri Selangor."
132,Geografi Malaysia,Ciri Fizikal,SEDERHANA,"Sungai Kesang membentuk sebahagian daripada sempadan antara Melaka dan...?","Johor","Negeri Sembilan","Pahang","Perak","Sungai Kesang terletak di sempadan antara daerah Tangkak di Johor dan Jasin di Melaka."
133,Geografi Malaysia,Pembahagian Sejarah,SEDERHANA,"Apakah persamaan antara Johor, Kedah, Kelantan, Terengganu dan Perlis dalam sejarah pentadbiran British?","Semua adalah Negeri-negeri Melayu Tidak Bersekutu","Semua adalah Negeri-negeri Melayu Bersekutu","Semua adalah Negeri-negeri Selat","Semua menentang British","Senarai di muka surat 13 mengkategorikan kelima-lima negeri ini sebagai Negeri-negeri Melayu Tidak Bersekutu."
134,Geografi Malaysia,Wilayah,SEDERHANA,"Bendera negeri manakah yang mempunyai lambang pokok pinang?","Pulau Pinang","Melaka","Sabah","Sarawak","Bendera Pulau Pinang mempunyai lambang pokok pinang di atas jalur berwarna biru, putih dan kuning."
135,Geografi Malaysia,Wilayah,SUKAR,"Tanjung Tuan, sebuah tanjung kecil yang merupakan sebahagian daripada Melaka, dikelilingi oleh negeri...?","Negeri Sembilan","Johor","Pahang","Selangor","Peta di muka surat 12 menunjukkan Tanjung Tuan (Malacca) sebagai sebuah eksklaf Melaka yang terletak di dalam kawasan Port Dickson, Negeri Sembilan."
136,Geografi Malaysia,Pembahagian Sejarah,SUKAR,"Pada peta Negeri-negeri Selat di muka surat 12, kawasan berwarna biru tua mewakili...?","Negeri-negeri Melayu Tidak Bersekutu","Negeri-negeri Melayu Bersekutu","Kawasan di bawah jajahan Siam","Kawasan bebas","Peta itu menunjukkan kawasan seperti Kelantan, Terengganu, Kedah dan Perlis (di bawah Siam) dan Johor sebagai kawasan biru tua, yang sepadan dengan Negeri-negeri Melayu Tidak Bersekutu."
137,Geografi Malaysia,Pembahagian Sejarah,SUKAR,"Pada peta Negeri-negeri Selat di muka surat 12, kawasan berwarna kuning mewakili...?","Negeri-negeri Melayu Bersekutu","Negeri-negeri Melayu Tidak Bersekutu","Negeri-negeri Selat","Kawasan di bawah jajahan Siam","Peta menunjukkan Pahang, Perak, Selangor dan Negeri Sembilan sebagai kawasan kuning, iaitu Negeri-negeri Melayu Bersekutu."
138,Geografi Malaysia,Ciri Fizikal,SUKAR,"Berdasarkan senarai gunung, apakah satu-satunya gunung dari Semenanjung Malaysia yang tersenarai selain Gunung Tahan?","Tiada","Gunung Korbu","Gunung Ledang","Gunung Benom","Senarai 6 gunung teratas dalam buku ini hanya menyenaraikan Gunung Tahan dari Semenanjung. Lima lagi adalah dari Sabah dan Sarawak. Ini menguji ketelitian."
139,Geografi Malaysia,Wilayah,SUKAR,"Bendera negeri manakah yang mempunyai lambang keris dan tombak?","Kelantan","Johor","Negeri Sembilan","Perak","Bendera Kelantan mempunyai lambang dua bilah keris dan dua bilah tombak."
140,Geografi Malaysia,Ciri Fizikal,SUKAR,"Antara sungai yang disenaraikan, sungai manakah yang paling panjang dan mengalir melalui beberapa negeri?","Sungai Muar","Sungai Johor","Sungai Endau","Sungai Mersing","Sungai Muar berpunca dari Negeri Sembilan dan mengalir melalui Pahang dan Johor, menjadikannya sungai rentas negeri yang penting."
141,Geografi Malaysia,Wilayah,SUKAR,"Bendera negeri manakah yang mempunyai kaitan sejarah dengan bendera Thailand (Siam)?","Perlis","Kedah","Kelantan","Terengganu","Bendera Perlis dikatakan mempunyai pengaruh daripada bendera Siam kerana hubungan sejarah antara kedua-duanya."
142,Geografi Malaysia,Wilayah,SUKAR,"Apakah nama jolokan bagi ibu negeri Perak, Ipoh?","Bandar Bougainvillea","Bandaraya Perpaduan","Bandaraya Bersejarah","Bandar Anggerik","Ipoh terkenal dengan jolokan Bandar Bougainvillea kerana bunga kertas yang ditanam secara meluas di bandar itu."
143,Geografi Malaysia,Ciri Fizikal,SUKAR,"Tasik Banding adalah sebahagian daripada sebuah tasik buatan manusia yang lebih besar. Apakah nama tasik tersebut?","Tasik Temenggor","Tasik Kenyir","Tasik Chenderoh","Tasik Bera","Tasik Banding terletak di tengah-tengah Tasik Temenggor, yang terbentuk akibat pembinaan Empangan Temenggor."
144,Geografi Malaysia,Pembahagian Sejarah,SUKAR,"Mengapakah Negeri Sembilan dikategorikan sebagai Negeri Melayu Bersekutu walaupun sistem pemerintahannya berbeza?","Kerana ia menandatangani Perjanjian Persekutuan 1895","Kerana ia mempunyai Residen British","Kerana ia bersempadan dengan Selangor dan Pahang","Kerana ia kaya dengan bijih timah","Negeri Sembilan bersama Perak, Selangor dan Pahang bersetuju untuk membentuk Persekutuan pada tahun 1895, meletakkan mereka di bawah satu pentadbiran British."
145,Geografi Malaysia,Wilayah,SUKAR,"Bendera Wilayah Persekutuan Kuala Lumpur diilhamkan daripada bendera kebangsaan. Apakah perbezaan utamanya?","Menggantikan bulan sabit dengan Jata Negara","Menggunakan warna biru dan kuning sahaja","Mempunyai 11 jalur sahaja","Tiada jalur merah dan putih","Bendera KL mempunyai Jata Negara di tengah, berbanding bulan dan bintang pada Jalur Gemilang."
146,Geografi Malaysia,Ciri Fizikal,SUKAR,"Pulau Gaya, salah satu pulau yang disenaraikan, terletak berhampiran ibu negeri mana?","Kota Kinabalu","Kuching","George Town","Kuala Terengganu","Pulau Gaya adalah pulau terbesar dalam Taman Tunku Abdul Rahman, yang terletak hanya di luar pesisir Kota Kinabalu, Sabah."
147,Geografi Malaysia,Wilayah,SUKAR,"Bendera negeri manakah yang mempunyai warna yang sama dengan bendera negeri Pahang tetapi dalam susunan yang berbeza?","Perak","Selangor","Negeri Sembilan","Melaka","Bendera Perak (putih, kuning, hitam) dan Pahang (putih, hitam) mempunyai warna yang hampir sama, tetapi Perak menambah warna kuning."
148,Geografi Malaysia,Pembahagian Sejarah,SUKAR,"Apakah faktor utama yang mendorong British untuk menyatukan Perak, Selangor, Negeri Sembilan dan Pahang sebagai Negeri-negeri Melayu Bersekutu?","Kekayaan hasil bijih timah","Ancaman daripada Siam","Permintaan daripada Sultan-sultan","Untuk menyeragamkan sistem pendidikan","Keseragaman pentadbiran di negeri-negeri kaya bijih timah ini memudahkan eksploitasi ekonomi oleh pihak British."
149,Geografi Malaysia,Ciri Fizikal,SUKAR,"Antara lima pulau yang disenaraikan, yang manakah BUKAN sebuah pulau fizikal tetapi sebuah mitos atau nama tempat?","Pulau Mat Gendut","Pulau Langkawi","Pulau Dangli","Pulau Gaya","Pulau Mat Gendut lebih merujuk kepada formasi batuan atau bukit yang kelihatan seperti pulau berhampiran Tasik Dayang Bunting, dan sering dikaitkan dengan legendanya."
150,Geografi Malaysia,Wilayah,SUKAR,"Apakah nama lama bagi negeri Selangor?","Selangor Darul Ehsan","Selangor Darul Ridzuan","Selangor Darul Makmur","Selangor Darul Naim","Nama penuh Selangor ialah Selangor Darul Ehsan, yang membawa maksud 'negeri tempat tinggal yang mulia'."
151,Pengetahuan Geografi Dunia,Benua,MUDAH,"Berapakah bilangan benua yang disenaraikan di dalam buku?","7","6","5","8","Muka surat 19 menyenaraikan 7 benua dunia."
152,Pengetahuan Geografi Dunia,Benua,MUDAH,"Benua manakah yang paling besar dari segi keluasan menurut buku?","Benua Asia","Benua Afrika","Benua Amerika Utara","Benua Eropah","Buku ini menyatakan Benua Asia mempunyai keluasan 44,579,000 km persegi, yang terbesar."
153,Pengetahuan Geografi Dunia,Benua,MUDAH,"Benua manakah yang paling kecil dari segi keluasan menurut buku?","Benua Oceania","Benua Eropah","Benua Antartika","Benua Amerika Selatan","Buku ini menyatakan Benua Oceania mempunyai keluasan 8,525,989 km persegi, yang terkecil."
154,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"Malaysia terletak di benua mana?","Asia","Afrika","Eropah","Oceania","Malaysia disenaraikan di bawah sub-kategori Asia Tenggara dalam Benua Asia."
155,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"Jepun terletak di rantau mana di Asia?","Asia Timur","Asia Tenggara","Asia Selatan","Asia Barat","Buku ini meletakkan Jepun dalam senarai negara-negara Asia Timur."
